ひるがの	194.5	223.5	108.5	398.5	271	342	210	174	556	255	170	227
清見	162	156.5	73.5	241.5	170.5	182.5	163	110	449	167	131.5	198
丹生川	115.5	114.5	68	184.5	107.5	164	137	125.5	359	137.5	98	142.5
関市板取	132.5	149	111.5	379	318.5	288	213	213.5	643	245.5	137	179
白糸	98.5	156.5	138	274.5	257.5	207.5	95.5	302	555	171	161	208
御殿場	120	240	200	262	285.5	193.5	116.5	277	473.5	285	219	259
富士	105	165.5	204	254	204	160.5	60	165.5	541	186	182.5	193.5
三島	93.5	140	169	145.5	169	202	107.5	258	345	147	162.5	111.5
川根本町	162	223.5	187.5	349	361	244	119.5	250.5	534.5	273.5	183.5	280
網代	95	75	150.5	165	127.5	282	149	250.5	369.5	103	140	108.5
高根山	118	241	255	387	432.5	310.5	92.5	262	431.5	268.5	166	224.5
静岡	115	157.5	230.5	361	267.5	267.5	78	88.5	376	176	146	178
天竜	78	140	186.5	252.5	297	201	135	134	327	169	98.5	150
湯ケ島	155	166	214.5	220	257	307.5	78	470	567	151	153	192.5
天城山	153	364	421.5	508.5	448.5	493	169	854	704	361	190	410
浜松	64	105.5	220.5	248.5	273	209	166	82.5	283	138	121	139.5
松崎	37	61.5	168	200	173	212.5	79.5	185	463	116.5	131.5	112
稲取	69.5	134.5	189.5	282.5	232	309	103	250	393	171	121	118.5
御前崎	73	75	155	262	187	282.5	120.5	51.5	324.5	216	158	142
石廊崎	46.5	97	180.5	180	164	236	110.5	218	291.5	169	138.5	116.5
佐久間	92.5	178	161.5	279	275.5	160	73.5	140	377	172	128	195.5
土肥	70.5	101	195	169.5	248.5	247	81.5	236.5	362	136.5	134	113.5
三ヶ日	64.5	113	188	212.5	216.5	210	192.5	26.5	369.5	114.5	107	131
掛川	68.5	101	223	209	273	213	101	141.5	261	124.5	126	130.5
熊	87.5	187.5	192	316.5	389.5	206.5	120	93.5	465	236	121.5	195.5
梅ケ島	140	235	152	349	328	208	87	197.5	635.5	251.5	203	277
清水	125.5	151	199	301.5	235	244.5	68.5	147.5	385.5	185.5	155	155
磐田	59.5	92.5	158	212	204	222	112.5	109.5	247.5	117	122.5	111.5
菊川牧之原	76	151.5	209	235	275.5	227.5	93	273	300.5	142	124.5	151
井川	166.5	227	169	386	350.5	232.5	116	234	508.5	255.5	227	292.5
三倉	88	181.5	233	278.5	370.5	239	116	225	308	195.5	130	186
鍵穴	140.5	228.5	223.5	357	364	248	87	218	441.5	276	167	231
静岡空港	82.5	153	199.5	248	286.5	245	94	195.5	313.5	146.5	122.5	145.5
