Prefecture	City	Population	Area	Density	Founded
Tokushima	Naruto	62453	135.46	461	1947-03-15
Tokushima	Komatsushima	41540	45.24	918	1951-06-01
Tokushima	Anan	77099	279.39	276	1958-05-01
Tokushima	Yoshinogawa	44905	144.19	311	2004-10-01
Tokushima	Mima	33520	367.38	91.2	2005-03-01
Tokushima	Awa	40303	190.97	211	2005-04-01
Tokushima	Miyoshi,Tokushima	32329	721.48	44.8	2006-03-01
Tokyo	Hachioji	567367	186.31	3045	1917-09-01
Tokyo	Tachikawa	175639	24.38	7204	1940-12-01
Tokyo	Musashino	138516	10.73	12909	1947-11-03
Tokyo	Mitaka	180797	16.50	10957	1950-11-03
Tokyo	Ome	141708	103.26	1372	1951-04-01
Tokyo	Fuchu,Tokyo	248445	29.34	8468	1954-04-01
Tokyo	Akishima	111763	17.33	6449	1954-05-01
Tokyo	Chofu	219053	21.53	10174	1955-04-01
Tokyo	Machida	413786	71.63	5777	1958-02-01
Tokyo	Koganei	115116	11.33	10160	1958-10-01
Tokyo	Kodaira	185829	20.46	9083	1962-10-01
Tokyo	Hino	179482	27.53	6520	1963-11-03
Tokyo	Higashimurayama	146585	17.17	8537	1964-04-01
Tokyo	Kokubunji	118801	11.48	10349	1964-11-03
Tokyo	Kunitachi	73362	8.15	9001	1967-01-01
Tokyo	Fussa	60413	10.24	5900	1970-07-01
Tokyo	Komae	78237	6.39	12244	1970-10-01
Tokyo	Higashiyamato	81445	13.54	6015	1970-10-01
Tokyo	Kiyose	73518	10.19	7215	1970-10-01
Tokyo	Higashikurume	115405	12.92	8932	1970-10-01
Tokyo	Musashimurayama	68333	15.37	4446	1970-11-03
Tokyo	Tama	149404	21.08	7087	1971-11-01
Tokyo	Inagi	80772	17.97	4495	1971-11-01
Tokyo	Hamura	56984	9.91	5750	1991-11-01
Tokyo	Akiruno	80268	73.34	1094	1995-09-01
Tokyo	Nishitokyo	193350	15.85	12199	2001-01-21
Tottori	Tottori	200315	765.66	262	1889-10-01
Tottori	Yonago	149140	132.21	1128	1927-04-01
Tottori	Kurayoshi	51453	272.15	189	1953-10-01
Tottori	Sakaiminato	35908	28.79	1247	1956-04-01
Toyama	Toyama	421116	1241.85	339	1889-04-01
Toyama	Uozu	45945	200.63	229	1952-04-01
Toyama	Himi	53316	230.47	231	1952-08-01
Toyama	Namerikawa	33789	54.61	619	1954-03-01
Toyama	Tonami	49396	126.96	389	1954-04-01
Toyama	Oyabe	32656	134.11	244	1962-08-01
Toyama	Nanto	57061	668.86	85.3	2004-11-01
Toyama	Takaoka	178965	209.38	855	2005-11-01
Toyama	Imizu	94691	109.18	867	2005-11-01
Toyama	Kurobe	42612	426.34	99.9	2006-03-31
Wakayama	Wakayama	372175	209.23	1779	1889-04-01
Wakayama	Kainan	55877	101.18	552	1934-05-01
Wakayama	Tanabe	80478	1026.77	78.4	1942-05-20
Wakayama	Gobo	26335	43.93	599	1954-04-01
Wakayama	Arida	31194	36.92	845	1956-05-01
Wakayama	Shingu	32654	255.43	128	2005-10-01
Wakayama	Kinokawa	67192	228.24	294	2005-11-07
Wakayama	Hashimoto	67505	130.31	518	2006-03-01
